experiment,status,key_output,one_line_result,decision,adjusted_models,fdr_survivors,label_in_paper
E2E.2,done,results/E2E_2_sweep.csv,"Of 40 adjusted models, 27 reach p < 0.05 and 23 survive FDR. Surviving: QRS duration (ms) -> log hs-cTnT (ng/L): 0.1078 (0.0876-0.128), q=1.98e-23; QRS duration (ms) -> Any of the three organs abnormal: 1.4621 (1.3199-1.6196), q=6.75e-12; QRS duration (ms) -> Heart abnormal (hs-cTnT >= 14 ng/L): 1.4358 (1.2934-1.5939), q=1.52e-10; ECG heart rate (bpm) -> log urine ACR (mg/g): 0.2264 (0.1438-0.309), q=8.56e-07; QRS duration (ms) -> Insensate sites, worse foot (0-10): 0.1779 (0.0985-0.2573), q=9.22e-05; QRS duration (ms) -> Nerve abnormal (>= 2 insensate sites): 1.2519 (1.1272-1.3904), q=0.000137; QTc interval (ms) -> log hs-cTnT (ng/L): 0.0438 (0.0234-0.0642), q=0.000137; ECG heart rate (bpm) -> log hs-cTnT (ng/L): 0.0464 (0.025-0.0678), q=0.000137; and 15 more. Coverage 2251 participants with QTc.",keep,40.0,23.0,supplement (T2)
E2D.1,done,results/E2D_1_sweep.csv,"Of 40 adjusted models, 8 reach p < 0.05 and 5 survive FDR. Surviving: Daily steps -> Heart abnormal (hs-cTnT >= 14 ng/L): 0.786 (0.6799-0.9087), q=0.0151; Resting heart rate (bpm) -> log urine ACR (mg/g): 0.1577 (0.0674-0.248), q=0.0151; Garmin stress score -> log urine ACR (mg/g): 0.1471 (0.0606-0.2337), q=0.0151; Daily steps -> Insensate sites, worse foot (0-10): -0.1353 (-0.2222--0.0485), q=0.0227; Daily steps -> Two or more organs abnormal: 0.7513 (0.6214-0.9083), q=0.0251. Coverage varies widely, so effects are not comparable across exposures without it: Daily steps n=1994, Resting heart rate (bpm) n=1987, Garmin stress score n=1987, Sleep (hours/night) n=2053, SpO2 (%) n=1628. Cross-sectional: steps and heart rate are as plausibly consequences of damage as causes, so any survivor is a correlate only.",keep,40.0,5.0,exploratory
E2F.1,done,results/E2F_1_models.csv,"1 of 18 fully-adjusted models survive FDR (3 reach p < 0.05 uncorrected). Surviving: Healthcare access barriers (0-3) -> Unrecognized — heart: 0.6599 (0.53-0.8215), q=0.00361. Coverage: Healthcare access barriers (0-3) n=2055, Prescription unaffordability (0-4) n=2022, Food insecurity, USDA count (0-5) n=2242, Food insecure (USDA >= 2) n=2242, Housing insecure (no steady place or at risk) n=2053, Clinician discrimination, mean (1-5) n=2048. NOT a correction of any published finding: the EDA-era 'insecurity paradox' was an artifact of the positional-slicing bug and existed only in this repo (CAVEATS).",keep,18.0,1.0,"exploratory, stated negative (T3)"
E3.1,done,results/E3_1_ranking.csv,"207 Phase-2 associations scored; 79 survive FDR; 78 of those replicate in direction at all three sites; 32 meet all four criteria. Top: E2A.2 undiagnosed_range->abn_kidney 4.1071 (q=0.00089, sites 3/3 same direction); E2A.2 undiagnosed_range_cgm->abn_kidney 2.9178 (q=0.021, sites 3/3 same direction); E2A.2 undiagnosed_range->abn_any 2.575 (q=0.021, sites 3/3 same direction); E2F.1 healthcare_access_barriers->unrec_heart 0.6599 (q=0.0036, sites 3/3 same direction); E2A.1 tar_180->abn_kidney 1.4926 (q=4.5e-10, sites 3/3 same direction); E2A.1 hba1c->abn_kidney 1.4902 (q=7.2e-10, sites 3/3 same direction); E2A.1 glucose_mean->abn_kidney 1.4815 (q=4.5e-10, sites 3/3 same direction); E2A.1 mage->abn_kidney 1.4372 (q=1.6e-07, sites 3/3 same direction); E2E.2 qrsd_ms->abn_heart 1.4358 (q=1.5e-10, sites 3/3 same direction); E2E.2 qrsd_ms->log_troponin 0.1078 (q=2e-23, sites 3/3 same direction); E2A.1 tar_180->abn_any 1.4172 (q=1.2e-08, sites 3/3 same direction); E2A.1 glucose_mean->abn_multi 1.4135 (q=6.5e-07, sites 3/3 same direction).",keep — feeds E3.2,,,convergence
E3.2,done,—,"HEADLINE SET: A1 the core sweep (prevalence, unrecognized fraction, population burden as the abstract lead, multi-organ counts, E1.4 who-is-unrecognized models) with per-site replication, cutoff sweeps extended to the burden, and bootstrap intervals; A2 CES-D-10 vs the five binary damage outcomes with the plan's covariate set age + BMI + HbA1c + severity + site (BMI is new relative to Phase 2), BH within 10, claim rule q<0.05 in both exposure forms, five robustness checks, H3 rerun; T1 undiagnosed-range glycaemia vs kidney damage (rank 1 of 207 in E3.1, 32 rows meet all four criteria) with Wald + bootstrap intervals and the CGM replication; T2 ECG numeric metrics vs the heart marker, supplement only; T3 the access-barrier negative reported as exploratory. Set aside for the headline: glycaemia (E2A.1; textbook, one sentence on CV beyond mean), BMI, wearables, PAID-5. Framing per E2.DECIDE: burden primary, falling fraction as mechanism. Required Methods statements 1-6 carried into PRESPEC.md §7.","keep — PRESPEC.md frozen 2026-08-25 (sha256 above); not committed to git tonight by Evan's instruction, so the hash is the freeze marker until his morning commit",,,PRESPEC
E3.3,done,results/E3_3_headline_summary.csv,"AIM 1 REPRODUCES PHASE 1 EXACTLY (every k, n and %, both denominators, across 55 rows; 46 E1.4 model terms reproduce). Per-site: 11/11 core trends keep their sign at every site (a direction check, not a replication; 7 are significant within all three). Burden rises with severity at every cutoff rung: True (heart at the non-clinical 'detectable' rung p=0.040). AIM 2 with the spec covariates: CES-D-10 -> nerve OR 1.1606 (1.0193-1.3214) per SD, p=0.0245, q=0.245; screen-positive OR 1.3078 (0.9517-1.7973), p=0.098, q=0.49; PRE-SPECIFIED CRITERION NOT MET for any outcome. Attenuation from the Phase-2 OR 1.2175 decomposes on the fixed n=2,197 sample as: same covariates 1.1935 (sample change = 42% of the log-OR drop; the 68 lost participants are 23.5% nerve-abnormal vs 14.3%), + HbA1c 1.1842, + BMI 1.1673, both 1.1606. Missing-data sensitivity (single imputation, n=2,265): OR 1.188 q=0.0638, >=10 OR 1.3933 q=0.163 — criterion still not met. Robustness rows for nerve not significant: 12 (the >=1-insensate-site cutoff erases it: OR 1.0451; dropping the 20 odd monofilament rows p=0.054). Within-site direction 3/3, Q p=0.42. H3: 0 of 6 survive FDR. T1: undiagnosed-range -> kidney OR 4.1071 (Wald 2.0606-8.186, bootstrap 1.8291-8.5079), q=0.000596 (Phase-2 q=0.000893); CGM definition OR 2.9178, q=0.014; within-site direction 3/3, Q p=0.76; double-unrecognized 16 of 19; kidney damage by HbA1c band < 6.5% 109/1259 (8.7%), 6.5-6.9% 6/27 (22.2%), >= 7.0% 7/19 (36.8%). T2: QRS -> log troponin q=5e-24, same direction at 3 sites, Q p=0.35.","keep — headline set rerun per the amended spec; Aim 1 and T1 confirmed, Aim 2 reported as pre-specified criterion not met",,,confirmatory reruns
E4.1,done,results/E4_1_table1.csv,"28 rows. Age 60.9 (11.2); any organ abnormal 767 (34.6%); either-organ unrecognized burden 471 (21.3%) overall, 100 (40.7%) on insulin.",keep,,,Table 1
E4.2,done,results/E4_2_figure1.png,Either-organ burden 15.5% -> 40.7% across severity (z=8.15); either-organ fraction 84.9% -> 69.9% (z=-2.85).,keep — re-rendered after visual checks (labels off the interval caps; panel B endpoint labels with per-organ offsets; headroom for the Insulin label),,,Figure 1
E4.3,done,results/E4_3_figure2.png,Two or more organs: 5.9% Healthy -> 31.1% Insulin; most common single organ: heart (204); all three in 49.,"keep — re-rendered once after a visual check (group n moved into the tick labels, off the title)",,,Figure 2
E4.4,done,results/E4_4_table2.csv,Table 2 and supplement S1-S5 assembled from frozen artifacts (this run).,keep,,,Table 2 + supplement
